id,VOLUME OFERECIDAS,PERDA DE LOG,CLIENTE,HC PREVISTO S/ INDISP.,NS PREVISTO,REUNIAO,NR17,HC BRUTO,VOLUME ATENDIDAS,TREINAMENTO,TC_ID,GRUPO,FEEDBACK,OPERAÇÃO PUNCH,TMO PREVISTO,ABS,PRODUTO,SISTEMA,SITE,DATA,CELULA,BANHEIRO,INTERVALO,TO,FÉRIAS
rec0Mp2OGnmamyZEd,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,,0,CAB,0.0,-,2024-08-31,ATENDIMENTO,0.0,10:30:00,0,0
rec0MqKtIRvR3UDfC,6.42819,0,ALELO PAT,14.4009,1.0,0,0.163265,18.6122,6.42819,0.035,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,444.25,0,FORÇA DE VENDAS,0.015,-,2024-08-20,ATENDIMENTO,0.013,15:30:00,0,0
rec0N2u07sFihdKqv,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,0.0,0,CAC,0.0,-,2024-08-26,ATENDIMENTO,0.0,21:30:00,0,0
rec0N6S7u5viwoRZY,43.52,0,ALELO PAT,13.7888,0.603828,0,0.163265,18.6655,43.52,0.045,1412,NEOBPO,0,MCZ II - ALELO - CAE PAT,493.917,0,CAE PAT,0.04,-,2024-08-23,ATENDIMENTO,0.013,15:30:00,0,0
rec0N9EcAB58EKxmx,0.139808,0,ALELO PAT,8.10487,1.0,0,0.163265,11.6327,0.139808,0.03,1417,NEOBPO,0,MCZ II - ALELO PAT - PERSONALIZADA,484.589,0,PERSONALIZADA,0.097,-,2024-08-02,ATENDIMENTO,0.013,12:30:00,0,0
rec0NNY1mvCW2DquW,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,0.0,0,CAC,0.0,-,2024-08-05,ATENDIMENTO,0.0,02:30:00,0,0
rec0NfEtvxJja8vOY,0.0,0,ALELO PAT,0.0,,0,0.0,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,,0,CAP,0.0,,2024-09-01,ATENDIMENTO,0.0,16:00:00,0,0
rec0OgDRgB3B7NQvo,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.03,1412,NEOBPO,0,MCZ II - ALELO - CAE PAT,0.0,0,CAE PAT,0.04,-,2024-08-22,ATENDIMENTO,0.013,06:00:00,0,0
rec0Pcm2dPZLpkzQQ,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.035,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,0.0,0,FORÇA DE VENDAS,0.015,-,2024-08-23,ATENDIMENTO,0.013,02:00:00,0,0
rec0QogVK3mfcX3hJ,0.0,0,ALELO PAT,0.0,,0,0.1633,0.0,,0.0,1413,NEOBPO,0,MCZ II - ALELO - PREMIUM - VOZ E-MAIL EVENTO,,0,PREMIUM Premium,0.0,-,2024-09-01,ATENDIMENTO,0.0,11:30:00,0,0
rec0R1764nh8YOrZV,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.0,1412,NEOBPO,0,MCZ II - ALELO - CAE PAT,,0,CAE PAT,0.0,-,2024-08-31,ATENDIMENTO,0.0,19:30:00,0,0
rec0R9wfm7Dj6uDxL,7.11072,0,ALELO PAT,4.84402,0.990548,0,0.105263,5.7685,7.11072,0.04,1415,NEOBPO,0,MCZ II - ALELO - CAU,182.497,0,CAU COMPLETO,0.0,MCZ II,2024-08-06,ATENDIMENTO,0.015,23:30:00,0,0
rec0RWY1Lmj9i4mKg,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,0.0,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,0.0,0,CAP,0.0,-,2024-08-20,ATENDIMENTO,0.0,05:30:00,0,0
rec0Rr0DjFVWuG9yD,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,,0.0,1413,NEOBPO,0,MCZ II - ALELO - PREMIUM - VOZ E-MAIL EVENTO,,0,PREMIUM Premium,0.0,-,2024-08-24,ATENDIMENTO,0.013,19:30:00,0,0
rec0RvIgWDtihsjCT,2.55589,0,ALELO PAT,4.52381,0.999954,0,0.163265,4.52381,2.55589,0.0,1416,NEOBPO,0,MCZ II - ALELO - FORCA DE VENDAS - CAC,467.848,0,CAC,0.0,-,2024-08-28,ATENDIMENTO,0.0,17:30:00,0,0
rec0RxHjAgJstRqWW,18.1121,0,ALELO PAT,7.60481,0.973943,0,0.163265,9.70329,18.1121,0.0,1412,NEOBPO,0,MCZ II - ALELO - CAE PAT,428.343,0,CAE PAT,0.04,-,2024-08-28,ATENDIMENTO,0.013,08:00:00,0,0
rec0SCfmT32JdT9JT,0.0,0,ALELO PAT,0.0,,0,0.163265,0.0,,0.0,1417,NEOBPO,0,MCZ II - ALELO PAT - PERSONALIZADA,,0,PERSONALIZADA,0.0,-,2024-08-10,ATENDIMENTO,0.013,07:00:00,0,0
rec0SLPKIGw1wrcGB,53.654,0,ALELO PAT,13.3715,0.484579,0,0.163265,17.0612,53.654,0.0,1412,NEOBPO,0,MCZ II - ALELO - CAE PAT,514.197,0,CAE PAT,0.04,-,2024-08-05,ATENDIMENTO,0.013,09:00:00,0,0
rec0SXjocDmnz9L8t,30.3178,0,ALELO PAT,4.18074,0.682145,0,0.105263,4.97863,27.7058,0.04,1415,NEOBPO,0,MCZ II - ALELO - CAU,161.731,0,CAU COMPLETO,0.0,MCZ II,2024-08-15,ATENDIMENTO,0.015,07:30:00,0,0
